linha	nome_linha	direction_id	headsign_comum	origem_stop_name	origem_lat	origem_lon	destino_stop_name	destino_lat	destino_lon	viagens_contadas	route_id	origem_stop_id	destino_stop_id
10	Madrugão / Circular Noturno	0	Circular Centro	Rua Aarao Reis 510	-19.9193217	-43.9344224	Rua Aarao Reis 510	-19.9193217	-43.9344224	36	989341	14788902	14788902
30	Estação Diamante/Centro	0	Estação Diamante (Carnaval)	Estação Diamante - Plataforma E6	-19.99474173	-44.02405225	Estação Diamante - Plataforma E6	-19.99474173	-44.02405225	1003	562172	15246212	15246212
32	Estação Barreiro/Centro-Tamoios	0	Estação Barreiro (Paradora)	Estação Barreiro - Plataforma D4	-19.97382751	-44.0213642	Estação Barreiro - Plataforma D4	-19.97382751	-44.0213642	342	562016	15140121	15140121
33	Estação Barreiro/Centro-Hospitais	0	Estação Barreiro	Estação Barreiro - Plataforma E3	-19.97367878	-44.02116303	Estação Barreiro - Plataforma E3	-19.97367878	-44.02116303	547	561808	15140124	15140124
35	Estação Barreiro/Centro	0	Estação Barreiro	Estação Barreiro - Plataforma D3	-19.97378718	-44.0211617	Estação Barreiro - Plataforma D3	-19.97378718	-44.0211617	175	562088	15140118	15140118
50	Estação Pampulha / Centro - Direta	0	Estação Pampulha	Estação Pampulha - Plataforma G4	-19.84347457	-43.96700111	Estação Pampulha - Plataforma G4	-19.84347457	-43.96700111	890	561929	15252270	15252270
51	Estação Pampulha / Centro / Hospitais	0	Estação Pampulha	Estação Pampulha - Plataforma G1	-19.84229939	-43.96757599	Estação Pampulha - Plataforma G1	-19.84229939	-43.96757599	904	562134	15252267	15252267
52	Estação Pampulha / Avenida Antonio Carlos	0	Estação Pampulha	Estação Pampulha - Plataforma F1	-19.84218665	-43.96739753	Estação Pampulha - Plataforma F1	-19.84218665	-43.96739753	209	562165	15252282	15252282
61	Estação Venda Nova/Centro-Direta	0	Estação Venda Nova	Estação Venda Nova - Plataforma D1	-19.80934976	-43.96994457	Estação Venda Nova - Plataforma D1	-19.80934976	-43.96994457	449	561937	15328780	15328780
62	Estação Venda Nova/Savassi Via Hospitais	0	Estação Venda Nova	Estação Venda Nova - Plataforma E1	-19.80924882	-43.9701806	Estação Venda Nova - Plataforma E1	-19.80924882	-43.9701806	856	561896	15328781	15328781
62	Estação Venda Nova/Savassi Via Hospitais	1	Estação Venda Nova (Estacao Venda Nova/Savassi)	Rua Claudio Manoel 713	-19.93390311	-43.93182622	Estação Venda Nova - Plataforma E1	-19.80924882	-43.9701806	9	561896	14790167	15328781
