route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
561787,37926,326,Estação Barreiro / Vale do Jatoba,,3,,012841,FFFFFF
561788,37926,9211,Caetano Furquim/Havaí,,3,,012841,FFFFFF
561790,37926,9106,Sagrada Família/Serra,,3,,012841,FFFFFF
561791,37926,SC03A,Hospital Felicio Rocho/Hospital Militar A,,3,,012841,FFFFFF
561792,37926,4205,Ermelinda / Salgado Filho - Via Prado,,3,,012841,FFFFFF
561794,37926,9408,Santa Efigênia/Padre Eustáquio,,3,,012841,FFFFFF
561795,37926,8205,Maria Goretti/Nova Granada,,3,,012841,FFFFFF
561796,37926,712,Estação Pampulha / São Bernardo,,3,,012841,FFFFFF
561798,37926,4108,Pedro II/Mangabeiras,,3,,012841,FFFFFF
561799,37926,627,Estação Venda Nova/Mantiqueira,,3,,012841,FFFFFF
561801,37926,608,Estação Venda Nova / Nova Pampulha,,3,,012841,FFFFFF
561802,37926,808,Estação São Gabriel / Paulo VI,,3,,012841,FFFFFF
561803,37926,309,Estação Diamante / Bairro Petropolis,,3,,012841,FFFFFF
561804,37926,328,Estação Barreiro / Cardoso B,,3,,012841,FFFFFF
561805,37926,3302D,Braúnas / Centro,,3,,012841,FFFFFF
561806,37926,341,Estação Barreiro / Estação Diamante Via Saude,,3,,012841,FFFFFF
561807,37926,5250,Estação Pampulha / Betania,,3,,BED000,000000
561808,37926,33,Estação Barreiro/Centro-Hospitais,,3,,012841,FFFFFF
561809,37926,8101,Santa Cruz/Alto Santa Lúcia,,3,,BED000,000000
561810,37926,9250,Caetano Furquim/Nova Cintra Via Savassi,,3,,012841,FFFFFF
561811,37926,637,Estação Vilarinho / Canaa Via Serra Verde,,3,,012841,FFFFFF
561812,37926,338,Estação Barreiro/Pilar - Olhos Dagua,,3,,012841,FFFFFF
561813,37926,615,Céu Azul B / Estação Pampulha - Via Garças,,3,,012841,FFFFFF
561814,37926,738,Estação Vilarinho/Conjunto Zilah Sposito,,3,,012841,FFFFFF
561817,37926,401,Metro Cidade Industrial/Santa Maria,,3,,012841,FFFFFF
561821,37926,823,Estação São Gabriel / Bairro Vitoria,,3,,012841,FFFFFF
561822,37926,1502,Vista Alegre / Guarani,,3,,012841,FFFFFF
561823,37926,319,Vila Cemig/Conjunto Esperanca,,3,,012841,FFFFFF
561824,37926,85,Estação São Gabriel / Centro Via Floresta,,3,,BED000,000000
561825,37926,3053,Estação Barreiro/B.Preto,,3,,012841,FFFFFF
561826,37926,1509,California/Tupi,,3,,012841,FFFFFF
561827,37926,719,Estação Pampulha / Floramar,,3,,012841,FFFFFF
561828,37926,716,Estação São Gabriel / Novo Aarão Reis,,3,,012841,FFFFFF
561829,37926,105,Estação Central / Lourdes,,3,,012841,FFFFFF
561830,37926,625,Estação Venda Nova / Maria Helena B,,3,,012841,FFFFFF
561831,37926,203,Morro Das Pedras/Ventosa,,3,,012841,FFFFFF
561832,37926,644,Estação Pampulha / São Joao Batista,,3,,012841,FFFFFF
561833,37926,634,Estação Vilarinho/Nova York Via Jardim dos Comerciarios,,3,,012841,FFFFFF
561834,37926,5107,Estação Pampulha/Savassi,,3,,BED000,000000
561835,37926,8107,Concórdia/São Pedro - Via Colégio Batista,,3,,012841,FFFFFF
561836,37926,718,Planalto / Estação Pampulha - Via Itapõa,,3,,012841,FFFFFF
561837,37926,SC02A,Praca 7/Savassi Via Pca da Liberdade - Santa Casa,,3,,012841,FFFFFF
561838,37926,3501A,Jardim Alvorada/São Marcos,,3,,012841,FFFFFF
561839,37926,402,Metro Cidade Industrial/Camargos,,3,,012841,FFFFFF
561841,37926,2151,Vista Alegre/Serra,,3,,012841,FFFFFF
561843,37926,9502,São Geraldo/São Francisco Via Esplanada,,3,,012841,FFFFFF
561845,37926,202,Estação Vila Oeste,,3,,012841,FFFFFF
561846,37926,619,Estação Pampulha/Santa Monica Via Santa Branca,,3,,012841,FFFFFF
561847,37926,103,Vila Cafezal/Rua Pouso Alto,,3,,012841,FFFFFF
561848,37926,5502C,Pousada Santo Antônio / Centro / Hospitais,,3,,012841,FFFFFF
561849,37926,717,Campo Alegre / Estação Pampulha - Via Planalto,,3,,012841,FFFFFF
561850,37926,2034,Conjunto Betania / Centro,,3,,012841,FFFFFF
561851,37926,2102,Gameleira / Serra,,3,,012841,FFFFFF
561852,37926,506,Estação Ponto São Jose / Avenida Antonio Carlos,,3,,012841,FFFFFF
561853,37926,9550,Casa Branca/São Francisco Via Estação José Cândido,,3,,012841,FFFFFF
561855,37926,4111,Dom Cabral/Anchieta,,3,,012841,FFFFFF
561856,37926,815,Estação São Gabriel / Conjunto Paulo VI,,3,,012841,FFFFFF
561858,37926,9501,São Lucas/Jaraguá,,3,,012841,FFFFFF
561859,37926,315,Estação Barreiro / Barreiro / Maldonado,,3,,012841,FFFFFF
561860,37926,305,Estação Diamante / Mangueiras,,3,,012841,FFFFFF
561862,37926,4032,Caicara /Savassi/ Praca da Liberdade,,3,,012841,FFFFFF
561864,37926,4037,Glória / Centro - Via Padre Eustáquio,,3,,012841,FFFFFF
561865,37926,510,Estação Pampulha / Xangrila Via Trevo,,3,,012841,FFFFFF
561868,37926,SC01A,Contorno A,,3,,012841,FFFFFF
561869,37926,3029,Regina / Centro,,3,,012841,FFFFFF
561870,37926,64,Estação Venda Nova/Assembleia Via Carlos Luz,,3,,BED000,000000
561872,37926,614,Céu Azul A / Estação Pampulha - Via Avenida Portugal,,3,,012841,FFFFFF
561874,37926,8203,Renascenca/Buritis - Via Nova Suiça,,3,,012841,FFFFFF
561875,37926,633,Estação Vilarinho / Jardim dos Comerciarios,,3,,012841,FFFFFF
561879,37926,8106,Santa Cruz/BH Shopping Via Belvedere,,3,,012841,FFFFFF
561880,37926,3051,Flavio Marques Lisboa / Savassi Via N.S.Carmo,,3,,012841,FFFFFF
561882,37926,68,Estação Vilarinho / Avenida Antônio Carlos,,3,,BED000,000000
561883,37926,643,Estação Pampulha / Copacabana Via Monte Carmelo,,3,,012841,FFFFFF
561885,37926,9104,Sagrada Família/Luxemburgo,,3,,012841,FFFFFF
561886,37926,342,Estação Barreiro / Solar Via Estação Diamante,,3,,012841,FFFFFF
561888,37926,9201,Baleia/Nova Granada,,3,,012841,FFFFFF
561889,37926,9205,Nova Vista/Nova Cintra,,3,,012841,FFFFFF
561890,37926,5201,Dona Clara/Buritis,,3,,BED000,000000
561891,37926,3302A,Nova Pampulha/Centro - Via Zoológico,,3,,012841,FFFFFF
561892,37926,5104,Suzana/Cruzeiro-Via Universitario,,3,,012841,FFFFFF
561893,37926,838,Estação São Gabriel/Palmares Via Maria Virginia,,3,,012841,FFFFFF
561894,37926,330,Estação Barreiro / Independencia,,3,,012841,FFFFFF
561896,37926,62,Estação Venda Nova/Savassi Via Hospitais,,3,,BED000,000000
