stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
14784087,,Avenida Horacio Terena Guimaraes 350,,-19.82659325,-44.00789604,,,0,,,0,
14784088,,Avenida Brigadeiro Eduardo Gomes 2400,,-19.89599091,-44.01020576,,,0,,,0,
14784089,,Avenida Nelio Cerqueira 884,,-19.9918939,-44.04028051,,,0,,,0,
14784090,,Rua Professora Iracema Pimenta 40,,-19.95537488,-43.94990879,,,0,,,0,
14784091,,"Rua Oeste, 519",,-19.92337788,-43.96826561,,,0,,,0,
14784092,,Rua Capivari 837,,-19.9403168,-43.91202272,,,0,,,0,
14784093,,Rua Professor Octavio Coelho De Magalhaes 760,,-19.95424616,-43.91498824,,,0,,,0,
14784094,,Rua Carmelita Moreira Reis 303,,-19.8154997,-44.01292436,,,0,,,0,
14784095,,Rua Expedito Flaviano Da Costa 231,,-19.81100499,-44.0015085,,,0,,,0,
14784096,,Rua Rio Grande 264,,-19.85280729,-43.93026795,,,0,,,0,
14784097,,Rua Grao Mogol 502,,-19.94466846,-43.93325049,,,0,,,0,
14784098,,Avenida Senador Levindo Coelho 3875,,-20.01270794,-44.03280299,,,0,,,0,
14784099,,Rua Soares Nogueira 653,,-19.94094536,-44.0190489,,,0,,,0,
14784100,,Rua Goncalves 57,,-19.81533307,-43.96468097,,,0,,,0,
14784101,,Rua Maria Da Gloria Coimbra 11,,-19.80164054,-43.9392751,,,0,,,0,
14784102,,Rua Theodoro Bonfim 85,,-19.91672491,-43.88364888,,,0,,,0,
14784103,,Avenida Doutor Cristiano Guimaraes 633,,-19.82695017,-43.95119021,,,0,,,0,
14784104,,Avenida Presidente Juscelino Kubitschek 4369,,-19.92411556,-43.98252809,,,0,,,0,
14784105,,Rua Cibipuruna 86,,-19.81874829,-43.89225794,,,0,,,0,
14784106,,Rua Caetano Dias 119,,-19.84544847,-43.94552906,,,0,,,0,
14784107,,Rua Professora Iracema Pimenta 41,,-19.95528996,-43.94982029,,,0,,,0,
14784108,,Avenida Afonso Vaz De Melo 250,,-19.97297772,-44.01783881,,,0,,,0,
14784109,,Rua Mariano Guimaraes 83,,-19.84044553,-43.90034043,,,0,,,0,
14784110,,Rua Olinto Magalhaes 65,,-19.91421299,-43.98139153,,,0,,,0,
14784111,,Rua Itamirim 402,,-19.90559855,-43.88470218,,,0,,,0,
14784112,,Rua Mariano Guimaraes 86,,-19.84026613,-43.90030261,,,0,,,0,
14784113,,Rod Mg Cinco 690,,-19.86407191,-43.9046677,,,0,,,0,
14784114,,Avenida Miguel Perrela 445,,-19.87844206,-43.99692686,,,0,,,0,
14784115,,Pca Cidade Do Porto 1,,-19.94509306,-43.91631379,,,0,,,0,
14784116,,Avenida Teresa Cristina 5001,,-19.94812172,-43.98614982,,,0,,,0,
14784117,,Avenida Afonso Pena 3328,,-19.94011698,-43.92570373,,,0,,,0,
14784118,,Avenida Mem De Sa 1524,,-19.92895075,-43.90842945,,,0,,,0,
14784119,,Rua Carnauba 257,,-19.80021183,-43.92359707,,,0,,,0,
14784120,,Avenida Teresa Cristina 5000,,-19.94148712,-43.98782682,,,0,,,0,
14784121,,Rua Goncalves 68,,-19.81535848,-43.96499596,,,0,,,0,
14784122,,Avenida Agulhas Negras 705,,-19.95349803,-43.91564057,,,0,,,0,
14784123,,Rua Jornalista Mario Eugenio 316,,-19.88046071,-44.009888,,,0,,,0,
14784124,,Rua Engenho Do Sol 551,,-19.89388498,-43.98377115,,,0,,,0,
14784125,,Rua Jacui 1839,,-19.89691892,-43.93506625,,,0,,,0,
14784126,,Rua Fluorina 1395,,-19.92308901,-43.90425284,,,0,,,0,
14784127,,Avenida Professor Clovis Salgado 747,,-19.86489208,-44.00365366,,,0,,,0,
14784128,,Rua Doutor Joao Miranda 164,,-19.86132642,-43.93610908,,,0,,,0,
14784129,,Avenida Cristiano Machado 1279,,-19.89987863,-43.92833946,,,0,,,0,
14784130,,Rua Valao 48,,-19.89759541,-44.0202351,,,0,,,0,
14784131,,Rua Herci Euclides Ferreira 590,,-19.8023449,-43.9965627,,,0,,,0,
